Test/F1@1,Test/F1@2,Test/F1@5,Test/F1@10,Test/Pr@1,Test/Pr@2,Test/Pr@5,Test/Pr@10,Test/Re@1,Test/Re@2,Test/Re@5,Test/Re@10,Test/Rev@1,Test/Rev@2,Test/Rev@5,Test/Rev@10
,,,,,,,,,,,,,,,
0.03155017571261226,0.0396769472600141,0.0482206958930438,0.0489385123447082,0.0357902197023387,0.0324238128986534,0.0302289318874477,0.027574474117918,0.0282083507889959,0.0511101801424382,0.1191174416980868,0.2172880882558301,0.0521940242110533,0.0890000442105832,0.1691409068679567,0.2652500886910954
0.029675907848496684,0.0389180985419263,0.0520647841940134,0.0594367658851832,0.0336640680368533,0.0318036853295535,0.0326387412290027,0.033489262173081,0.0265326071777684,0.0501326630358888,0.1286133221617092,0.2639296187683284,0.0349173423194976,0.0530976820500675,0.1267334630860763,0.2332508939495197
-------,,,,,,,,,,,,,,,
stratified,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.02514642717688403,0.0290530652067862,0.0331835269510161,0.0360708838467223,0.0285258681785967,0.0237420269312544,0.0208023247572471,0.0203239067262031,0.0224828934506353,0.0374249406507471,0.081971791649211,0.1601731601731601,0.0249887312022113,0.0390178839869802,0.0907567373651101,0.2003136519679534
------,,,,,,,,,,,,,,,
0.026864506052323312,0.033822971434766105,0.04296333983436502,0.04726638048964574,0.03047484053862509,0.027639971651311126,0.02693316322914452,0.026631937061450138,0.024018991760927245,0.04356933389191454,0.10613042871107388,0.20988688730624214,0.02388086131000066,0.04696565571552386,0.10030731177802084,0.1985358000030636
